sample_id,E,T,rho,AAV,PF,VPA,RBI,WE,B,N,S,O,F,Na,Al,Si,P,Cl,Ge,Br,I,ln_D
s63,0.3301976321696667,0.077555999358,2.4388546100836814,13.86284772250298,0.5033684147589088,24.082903342742384,1.959141103983971,2.605378151260504,0.0,0.0,0.0,0.5756302521008403,0.0,0.226890756302521,0.0,0.06302521008403361,0.13445378151260504,0.0,0.0,0.0,0.0,-13.074572425493812
s64,0.3301976321696667,0.094790665882,2.4388546100836814,13.86284772250298,0.5033684147589088,24.082903342742384,1.959141103983971,2.605378151260504,0.0,0.0,0.0,0.5756302521008403,0.0,0.226890756302521,0.0,0.06302521008403361,0.13445378151260504,0.0,0.0,0.0,0.0,-11.944378634039126
s65,0.31875434318967527,0.04308666631,3.2427040562865965,14.424743234002838,0.4478423673743901,24.728131258290595,1.6477422247049451,2.656375,0.0,0.0,0.0,0.5833333333333334,0.0,0.16666666666666666,0.0,0.07083333333333333,0.0,0.0,0.17916666666666667,0.0,0.0,-16.84922037807049
s66,0.31875434318967527,0.060321332834,3.2427040562865965,14.424743234002838,0.4478423673743901,24.728131258290595,1.6477422247049451,2.656375,0.0,0.0,0.0,0.5833333333333334,0.0,0.16666666666666666,0.0,0.07083333333333333,0.0,0.0,0.17916666666666667,0.0,0.0,-15.452774686067952
s67,0.31875434318967527,0.077555999358,3.2427040562865965,14.424743234002838,0.4478423673743901,24.728131258290595,1.6477422247049451,2.656375,0.0,0.0,0.0,0.5833333333333334,0.0,0.16666666666666666,0.0,0.07083333333333333,0.0,0.0,0.17916666666666667,0.0,0.0,-14.022489608292775
s68,0.31875434318967527,0.094790665882,3.2427040562865965,14.424743234002838,0.4478423673743901,24.728131258290595,1.6477422247049451,2.656375,0.0,0.0,0.0,0.5833333333333334,0.0,0.16666666666666666,0.0,0.07083333333333333,0.0,0.0,0.17916666666666667,0.0,0.0,-12.663431529287703
s69,0.32893839491502236,0.04308666631,1.9839643839470371,24.34631622324434,0.3032910390515606,40.968973506700834,5.543791578803485,2.1823360655737702,0.045081967213114756,0.0,0.5942622950819673,0.0,0.0,0.15163934426229508,0.0,0.14344262295081966,0.06557377049180328,0.0,0.0,0.0,0.0,-14.265361830187556
s70,0.32893839491502236,0.060321332834,1.9839643839470371,24.34631622324434,0.3032910390515606,40.968973506700834,5.543791578803485,2.1823360655737702,0.045081967213114756,0.0,0.5942622950819673,0.0,0.0,0.15163934426229508,0.0,0.14344262295081966,0.06557377049180328,0.0,0.0,0.0,0.0,-12.27696148988738
s71,0.32893839491502236,0.077555999358,1.9839643839470371,24.34631622324434,0.3032910390515606,40.968973506700834,5.543791578803485,2.1823360655737702,0.045081967213114756,0.0,0.5942622950819673,0.0,0.0,0.15163934426229508,0.0,0.14344262295081966,0.06557377049180328,0.0,0.0,0.0,0.0,-10.940768579337366
s72,0.32893839491502236,0.094790665882,1.9839643839470371,24.34631622324434,0.3032910390515606,40.968973506700834,5.543791578803485,2.1823360655737702,0.045081967213114756,0.0,0.5942622950819673,0.0,0.0,0.15163934426229508,0.0,0.14344262295081966,0.06557377049180328,0.0,0.0,0.0,0.0,-10.09149526642792
s73,0.3407396330997306,0.04308666631,2.2126388525711937,18.776666740010743,0.3874720291623459,34.042249455466646,1.5260726893388712,2.288430493273543,0.0,0.0,0.28699551569506726,0.2645739910313901,0.0,0.13901345291479822,0.273542600896861,0.03587443946188341,0.0,0.0,0.0,0.0,0.0,-16.067514133853038
s74,0.3407396330997306,0.060321332834,2.2126388525711937,18.776666740010743,0.3874720291623459,34.042249455466646,1.5260726893388712,2.288430493273543,0.0,0.0,0.28699551569506726,0.2645739910313901,0.0,0.13901345291479822,0.273542600896861,0.03587443946188341,0.0,0.0,0.0,0.0,0.0,-14.235967963477183
s75,0.3407396330997306,0.077555999358,2.2126388525711937,18.776666740010743,0.3874720291623459,34.042249455466646,1.5260726893388712,2.288430493273543,0.0,0.0,0.28699551569506726,0.2645739910313901,0.0,0.13901345291479822,0.273542600896861,0.03587443946188341,0.0,0.0,0.0,0.0,0.0,-12.639144704369706
s76,0.3407396330997306,0.094790665882,2.2126388525711937,18.776666740010743,0.3874720291623459,34.042249455466646,1.5260726893388712,2.288430493273543,0.0,0.0,0.28699551569506726,0.2645739910313901,0.0,0.13901345291479822,0.273542600896861,0.03587443946188341,0.0,0.0,0.0,0.0,0.0,-11.76874332211041
s77,0.32644688977586744,0.04308666631,3.0804153254518627,21.992230182506944,0.564588685908046,43.55324016535693,3.080712559541102,2.1812871287128712,0.0,0.0,0.0,0.31683168316831684,0.0,0.38613861386138615,0.0,0.039603960396039604,0.0,0.034653465346534656,0.06930693069306931,0.0,0.15346534653465346,-15.024453484498173
s78,0.32644688977586744,0.060321332834,3.0804153254518627,21.992230182506944,0.564588685908046,43.55324016535693,3.080712559541102,2.1812871287128712,0.0,0.0,0.0,0.31683168316831684,0.0,0.38613861386138615,0.0,0.039603960396039604,0.0,0.034653465346534656,0.06930693069306931,0.0,0.15346534653465346,-12.82958977816056
s79,0.32644688977586744,0.077555999358,3.0804153254518627,21.992230182506944,0.564588685908046,43.55324016535693,3.080712559541102,2.1812871287128712,0.0,0.0,0.0,0.31683168316831684,0.0,0.38613861386138615,0.0,0.039603960396039604,0.0,0.034653465346534656,0.06930693069306931,0.0,0.15346534653465346,-11.731951110792734
