# c0 + a0 * (poly_dist_std - Si) + a1 * (PF / NBI) + a2 * (Al + O) + a3 * (face-area-avg / E_T) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.287413147333563; Max AE: 1.58806969271692
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.806984054897211e+00, -9.948932166188942e-01, -2.502739536109868e+00,  6.964466086908311e+00, -5.597086952734719e-01, -1.317002452014638e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         29|16|sub; (poly_dist_std - Si); $\left(poly_{dist, std} - Si\right)$; (poly_dist_std - Si); (newdata$poly_dist_std - newdata$Si); poly_dist_std,Si
# 1;  1; Unitless;                                         3|5|div; (PF / NBI); $\left(\frac{ PF }{ NBI } \right)$; (PF ./ NBI); (newdata$PF / newdata$NBI); PF,NBI
# 2;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 3;  1; A^2;                                              33|0|div; (face-area-avg / E_T); $\left(\frac{ face-area-avg }{ E_{T} } \right)$; (face_sub_area_sub_avg ./ E_T); (newdata$face_sub_area_sub_avg / newdata$E_T); face-area-avg,E_T
# 4;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s73         , -1.814705961150877e+01, -1.803319351418485e+01,  7.649877544083106e-02,  6.222313699637819e-01,  0.000000000000000e+00,  2.634816527305959e-01,  1.110820035458225e+01
s74         , -2.269683109870329e+01, -2.356507716908598e+01,  9.850051371958261e-02,  1.292648197431861e+00,  4.382022471910113e-01,  1.180595902964650e-01,  1.610214489007334e+01
s75         , -2.162544692540680e+01, -2.164306889620727e+01,  1.784736445732510e-01,  1.061121807980006e+00,  5.637254901960784e-01,  1.846205329753561e-01,  1.360487330389796e+01
s76         , -1.799713371423827e+01, -1.831912046512901e+01,  7.171680035185171e-02,  5.785312986038351e-01,  0.000000000000000e+00,  2.793924153599610e-01,  1.187926729201374e+01
s77         , -1.808839931225978e+01, -1.801279164282095e+01, -8.114696919840374e-02,  8.653833293989871e-01,  0.000000000000000e+00,  3.136896690065690e-01,  1.075533210664907e+01
s78         , -1.710463489071706e+01, -1.704988235877497e+01,  5.527129048385470e-02,  5.545745806935953e-01,  0.000000000000000e+00,  3.376950518661431e-01,  1.032654213885252e+01
s79         , -2.130172009097587e+01, -2.114754688186400e+01,  1.224158952128079e-01,  5.227374846440092e-01,  4.448398576512456e-01,  1.916606603666290e-01,  1.411475985979630e+01
s80         , -2.075517304342145e+01, -2.061989285469691e+01,  6.107312244160984e-02,  1.008255869511903e+00,  2.000000000000000e-02,  1.939896171704129e-01,  1.403962267054964e+01
s81         , -1.679587307458704e+01, -1.691228664153020e+01,  8.016743282821705e-02,  6.001881855397231e-01,  0.000000000000000e+00,  3.216135375424789e-01,  9.879901566191508e+00
s82         , -1.961963418382102e+01, -1.966995584968687e+01, -2.685568344903420e-02,  1.115636707744321e+00,  1.015228426395939e-02,  2.499308585344222e-01,  1.260779164185863e+01
s83         , -1.732943596118787e+01, -1.740194757974563e+01,  7.692248646928390e-02,  7.694340516372967e-01,  0.000000000000000e+00,  3.287677508852189e-01,  1.053245723854915e+01
s84         , -2.091958911511147e+01, -2.094991034226923e+01,  2.135767524828004e-01,  5.076203313639354e-01,  1.349480968858132e-01,  2.023560620982410e-01,  1.560159713860114e+01
s85         , -1.931803893900067e+01, -1.940089456801508e+01, -1.005499688176270e-01,  7.733978917621470e-01,  1.731601731601732e-01,  2.544909572865008e-01,  1.182534491088885e+01
s86         , -2.124992178205270e+01, -2.084466133572791e+01,  1.884042256758634e-01,  9.094791665717095e-01,  5.963302752293578e-01,  2.111488713311125e-01,  1.266431172306523e+01
s87         , -2.000999990609716e+01, -1.988492410100439e+01,  6.216576214026812e-02,  9.473782830797750e-01,  1.026785714285714e-01,  2.340220014556813e-01,  1.296666020769036e+01
s88         , -1.933594922663024e+01, -1.951212185777226e+01,  7.976169135182350e-02,  1.037700466934006e+00,  0.000000000000000e+00,  2.435602328003997e-01,  1.277466533661714e+01
s89         , -2.128477820873118e+01, -2.136819299810418e+01,  1.219001344599253e-01,  6.716692583902315e-01,  5.180722891566265e-01,  1.941478413990889e-01,  1.394607053773596e+01
s90         , -2.009844325702736e+01, -2.011493888631262e+01,  1.912683006752976e-01,  7.255650527916814e-01,  1.841004184100418e-01,  2.206565320207743e-01,  1.365830652508399e+01
s91         , -2.185233402642529e+01, -2.236510825564228e+01,  9.644121609675556e-02,  1.153555875873310e+00,  4.791666666666667e-01,  1.383281855810773e-01,  1.426784901333161e+01
s92         , -1.852873985612102e+01, -1.860963162139004e+01,  8.070652628970219e-02,  8.531187389475353e-01,  2.280701754385965e-01,  3.106482613915202e-01,  1.130834584278522e+01
s93         , -2.244477787769646e+01, -2.236545924823017e+01,  4.661573729672408e-02,  7.972140327623323e-01,  5.462555066079295e-01,  1.725604692550196e-01,  1.486698731291654e+01
s94         , -2.069748145715988e+01, -2.045208204091323e+01,  2.086516809554954e-01,  1.018579921525696e+00,  1.850000000000000e-01,  1.957613090467853e-01,  1.348214843596203e+01
s95         , -1.839144268754908e+01, -1.823641655258678e+01, -1.965318261553382e-01,  5.149023581629019e-01,  0.000000000000000e+00,  3.237068482830829e-01,  1.152998821423509e+01
s96         , -2.061908691885885e+01, -2.053741440934929e+01, -3.265983001529640e-02,  1.018322964500566e+00,  0.000000000000000e+00,  2.094863625314273e-01,  1.385401409772986e+01
s97         , -2.336181657728519e+01, -2.304046581983898e+01,  1.448544169413526e-01,  8.501796412932897e-01,  2.982456140350877e-01,  1.280848374231196e-01,  1.685155949830643e+01
s98         , -1.913590175727989e+01, -1.917031275310703e+01,  3.905690830546539e-02,  1.050082431409472e+00,  2.572815533980582e-01,  2.748591707136182e-01,  1.124957011796191e+01
s99         , -1.764848235022367e+01, -1.807668062845736e+01,  2.981007828505067e-02,  5.428235647603717e-01,  2.173913043478261e-01,  3.478912181767591e-01,  1.125455758320133e+01
s100        , -2.003395952271198e+01, -1.995964642366919e+01,  6.273872060379421e-02,  1.193826676542591e+00,  2.574257425742574e-01,  2.392202636069007e-01,  1.203667478368263e+01
s101        , -2.047737186068138e+01, -2.042300055501209e+01, -1.032458318596421e-01,  3.724452115651787e-01,  3.973509933774834e-01,  2.210670236257692e-01,  1.293711721418137e+01
s102        , -1.813404261594337e+01, -1.843529282098223e+01,  7.392674027457817e-02,  6.201785748882279e-01,  1.861313868613139e-01,  3.430020401517604e-01,  1.197914028615624e+01
s103        , -2.094885731266024e+01, -2.053226256786915e+01,  1.940340674576372e-01,  1.232748122929018e+00,  1.666666666666667e-01,  1.961093590759042e-01,  1.328383059938385e+01
s104        , -1.695125455205811e+01, -1.687680167051575e+01,  3.063418839347867e-03,  7.909910529525900e-01,  1.034482758620690e-01,  3.991129283288412e-01,  9.730178352806050e+00
s105        , -2.089913046364001e+01, -2.144133222264333e+01,  1.586922840988972e-01,  6.795689542159608e-01,  4.801762114537445e-01,  1.867290847695492e-01,  1.425862425174133e+01
s106        , -2.193421435204462e+01, -2.209551045252332e+01,  9.782961771883290e-02,  1.017194508046695e+00,  4.384236453201971e-01,  1.397093998874610e-01,  1.423241023366987e+01
s107        , -1.938858975045087e+01, -1.956057558016521e+01,  8.157611311097646e-02,  1.011959219005111e+00,  0.000000000000000e+00,  2.646672252524096e-01,  1.317548290753482e+01
s108        , -2.184761912256448e+01, -2.205867988722767e+01,  1.149945107902166e-01,  9.156123275592406e-01,  5.377358490566038e-01,  1.498543957577894e-01,  1.408474671757332e+01
s109        , -1.765266017099491e+01, -1.815790784076684e+01,  5.931696919550532e-02,  5.130131141241472e-01,  0.000000000000000e+00,  2.837476686112017e-01,  1.172185806929322e+01
s110        , -2.222643790681205e+01, -2.162998944169385e+01,  1.309127085129270e-01,  2.938827010936310e-01,  5.243902439024390e-01,  2.190810670021240e-01,  1.539642090794856e+01
s111        , -2.198367498730207e+01, -2.175037604808310e+01,  1.283949511069205e-01,  1.015442496951398e+00,  4.264705882352941e-01,  1.610294235712484e-01,  1.403630411474320e+01
