# c0 + a0 * (face-area-avg * NBI) + a1 * (P + B) + a2 * (AAV * E_T) + a3 * (Al + O) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.293994236610423; Max AE: 1.64253612048114
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.091020500462270e+00,  2.079814199320081e+00,  5.660807286367001e-03, -1.522534404028936e+00, -8.018099779108117e-01, -1.262761384563423e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A^2;                                              32|4|mult; (face-area-avg * NBI); $\left(face-area-avg NBI\right)$; (face_sub_area_sub_avg .* NBI); (newdata$face_sub_area_sub_avg * newdata$NBI); face-area-avg,NBI
# 1;  1; Unitless;                                         16|8|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 2;  1; A^3;                                              1|0|mult; (AAV * E_T); $\left(AAV E_{T}\right)$; (AAV .* E_T); (newdata$AAV * newdata$E_T); AAV,E_T
# 3;  1; Unitless;                                         14|11|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 4;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s77         , -1.808839931225978e+01, -1.793598916458593e+01,  1.562100295942256e+00,  0.000000000000000e+00,  2.846014272792549e+02,  0.000000000000000e+00,  1.075533210664907e+01
s78         , -1.710463489071706e+01, -1.709324321774430e+01,  1.604721183846631e+00,  2.243346007604563e-01,  2.821041371291863e+02,  0.000000000000000e+00,  1.032654213885252e+01
s79         , -2.130172009097587e+01, -2.115765337745649e+01,  1.850591865672478e+00,  1.459074733096085e-01,  2.017566737648329e+02,  4.448398576512456e-01,  1.411475985979630e+01
s80         , -2.075517304342145e+01, -2.054401205763977e+01,  1.184921474925062e+00,  2.200000000000000e-01,  2.863247577596216e+02,  2.000000000000000e-02,  1.403962267054964e+01
s81         , -1.679587307458704e+01, -1.693788670459189e+01,  1.572972969850351e+00,  2.415254237288136e-01,  2.460880515043362e+02,  0.000000000000000e+00,  9.879901566191508e+00
s82         , -1.961963418382102e+01, -1.934412134196632e+01,  1.381780787842131e+00,  3.045685279187817e-02,  3.245309350916373e+02,  1.015228426395939e-02,  1.260779164185863e+01
s83         , -1.732943596118787e+01, -1.722883948699907e+01,  1.797431642277934e+00,  1.181434599156118e-01,  2.891906341647189e+02,  0.000000000000000e+00,  1.053245723854915e+01
s84         , -2.091958911511147e+01, -2.114724596353211e+01,  1.530031373701195e+00,  2.041522491349481e-01,  3.712284858862230e+02,  1.349480968858132e-01,  1.560159713860114e+01
s85         , -1.931803893900067e+01, -1.940418390649681e+01,  1.410001528606053e+00,  0.000000000000000e+00,  2.526867911616497e+02,  1.731601731601732e-01,  1.182534491088885e+01
s86         , -2.124992178205270e+01, -2.112714684458878e+01,  1.183841285111102e+00,  0.000000000000000e+00,  2.245575036416341e+02,  5.963302752293578e-01,  1.266431172306523e+01
s87         , -2.000999990609716e+01, -1.985116632312442e+01,  1.283246915434545e+00,  1.116071428571429e-01,  2.998522678038435e+02,  1.026785714285714e-01,  1.296666020769036e+01
s88         , -1.933594922663024e+01, -1.915586491091806e+01,  1.533935935900182e+00,  9.844559585492228e-02,  3.243881786838217e+02,  0.000000000000000e+00,  1.277466533661714e+01
s89         , -2.128477820873118e+01, -2.109286961606831e+01,  1.750631268719276e+00,  1.767068273092370e-01,  2.169538000111365e+02,  5.180722891566265e-01,  1.394607053773596e+01
s90         , -2.009844325702736e+01, -2.009470675165471e+01,  1.633142061317581e+00,  1.715481171548117e-01,  2.872369622805622e+02,  1.841004184100418e-01,  1.365830652508399e+01
s91         , -2.185233402642529e+01, -2.207314621692102e+01,  1.299106805488023e+00,  1.406250000000000e-01,  1.791781606445355e+02,  4.791666666666667e-01,  1.426784901333161e+01
s92         , -1.852873985612102e+01, -1.866137693377077e+01,  1.485550637777056e+00,  0.000000000000000e+00,  3.108849748094765e+02,  2.280701754385965e-01,  1.130834584278522e+01
s93         , -2.244477787769646e+01, -2.258043042127104e+01,  1.283256016705788e+00,  0.000000000000000e+00,  2.471937840626323e+02,  5.462555066079295e-01,  1.486698731291654e+01
s94         , -2.069748145715988e+01, -2.065157350884621e+01,  1.328825270404256e+00,  5.500000000000000e-02,  2.656272988267428e+02,  1.850000000000000e-01,  1.348214843596203e+01
s95         , -1.839144268754908e+01, -1.818546231506688e+01,  1.613311005222207e+00,  0.000000000000000e+00,  3.403853281239157e+02,  0.000000000000000e+00,  1.152998821423509e+01
s96         , -2.061908691885885e+01, -2.036708235677238e+01,  1.283464075583211e+00,  9.268292682926829e-02,  3.136954238829348e+02,  0.000000000000000e+00,  1.385401409772986e+01
s97         , -2.336181657728519e+01, -2.331089208429509e+01,  1.616993215243620e+00,  1.052631578947368e-01,  2.295536476561690e+02,  2.982456140350877e-01,  1.685155949830643e+01
s98         , -1.913590175727989e+01, -1.909628054404670e+01,  1.302121860562425e+00,  0.000000000000000e+00,  2.689420722093924e+02,  2.572815533980582e-01,  1.124957011796191e+01
s99         , -1.764848235022367e+01, -1.806022546433292e+01,  1.709357362331863e+00,  0.000000000000000e+00,  3.634546557564351e+02,  2.173913043478261e-01,  1.125455758320133e+01
s100        , -2.003395952271198e+01, -1.995492503328860e+01,  1.047698441036073e+00,  0.000000000000000e+00,  2.778214744452878e+02,  2.574257425742574e-01,  1.203667478368263e+01
s101        , -2.047737186068138e+01, -2.045098673009772e+01,  1.854688760696635e+00,  0.000000000000000e+00,  1.998326076191416e+02,  3.973509933774834e-01,  1.293711721418137e+01
s102        , -1.813404261594337e+01, -1.824773447498805e+01,  1.676534158138949e+00,  8.029197080291971e-02,  4.013808255397543e+02,  1.861313868613139e-01,  1.197914028615624e+01
s103        , -2.094885731266024e+01, -2.058130896263777e+01,  1.368924418831413e+00,  0.000000000000000e+00,  2.574975366934341e+02,  1.666666666666667e-01,  1.328383059938385e+01
s104        , -1.695125455205811e+01, -1.696902198317282e+01,  1.761941369450138e+00,  0.000000000000000e+00,  2.995218298689086e+02,  1.034482758620690e-01,  9.730178352806050e+00
s105        , -2.089913046364001e+01, -2.143570406705022e+01,  1.556445098985682e+00,  1.806167400881057e-01,  2.264586905167483e+02,  4.801762114537445e-01,  1.425862425174133e+01
s106        , -2.193421435204462e+01, -2.209678938607583e+01,  1.272109208153499e+00,  9.852216748768473e-02,  1.796957569662275e+02,  4.384236453201971e-01,  1.423241023366987e+01
s107        , -1.938858975045087e+01, -1.900821888594002e+01,  1.614965131752559e+00,  1.167512690355330e-01,  3.849005089068830e+02,  0.000000000000000e+00,  1.317548290753482e+01
s108        , -2.184761912256448e+01, -2.213483130609825e+01,  1.284293911655409e+00,  7.547169811320754e-02,  1.848916905198765e+02,  5.377358490566038e-01,  1.408474671757332e+01
s109        , -1.765266017099491e+01, -1.813551204141964e+01,  1.575143120100476e+00,  2.323232323232323e-01,  2.983853513767590e+02,  0.000000000000000e+00,  1.172185806929322e+01
s110        , -2.222643790681205e+01, -2.120653377219571e+01,  2.159347290614946e+00,  2.286585365853659e-01,  3.061448038222410e+02,  5.243902439024390e-01,  1.539642090794856e+01
s111        , -2.198367498730207e+01, -2.184542502051451e+01,  1.353917524138540e+00,  0.000000000000000e+00,  2.135387806518333e+02,  4.264705882352941e-01,  1.403630411474320e+01
s112        , -2.341727175416096e+01, -2.327298985447505e+01,  1.081859075098687e+00,  8.212560386473430e-02,  1.859083938311599e+02,  7.101449275362318e-01,  1.492583563625486e+01
s113        , -2.064750776227555e+01, -2.043234175394596e+01,  1.202337648778142e+00,  3.589743589743589e-02,  2.627992273939993e+02,  2.769230769230769e-01,  1.279254945745329e+01
s114        , -2.335281852671257e+01, -2.331781694595797e+01,  1.338987647650530e+00,  1.629955947136564e-01,  2.015989118271778e+02,  5.594713656387665e-01,  1.593827111771199e+01
s115        , -2.467653405274963e+01, -2.476265248479310e+01,  1.377304223715763e+00,  2.232558139534884e-01,  2.482657037741508e+02,  4.511627906976744e-01,  1.848381815774889e+01
