# c0 + a0 * (poly_dist_std + Cl) + a1 * (P + B) + a2 * (Al + O) + a3 * (face-area-avg / E_T) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.29403100705168; Max AE: 1.98952280661575
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.754469229669634e+00,  1.885029590423336e+00, -1.989838481240479e+00,  1.016663307588179e+01, -4.998404209471921e-01, -1.591275889107712e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         28|17|add; (poly_dist_std + Cl); $\left(poly_{dist, std} + Cl\right)$; (poly_dist_std + Cl); (newdata$poly_dist_std + newdata$Cl); poly_dist_std,Cl
# 1;  1; Unitless;                                         16|8|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 2;  1; Unitless;                                         14|11|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 3;  1; A^2;                                              32|0|div; (face-area-avg / E_T); $\left(\frac{ face-area-avg }{ E_{T} } \right)$; (face_sub_area_sub_avg ./ E_T); (newdata$face_sub_area_sub_avg / newdata$E_T); face-area-avg,E_T
# 4;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s40         , -1.990275935468409e+01, -1.959525538779052e+01,  6.714365021619736e-02,  0.000000000000000e+00,  1.702127659574468e-01,  2.395395098410020e-01,  1.179759001050850e+01
s41         , -1.952311408648237e+01, -1.941531242220849e+01,  6.721960353180643e-02,  0.000000000000000e+00,  2.189054726368159e-01,  2.633726660438693e-01,  1.172877329673941e+01
s42         , -1.862175379272403e+01, -1.929195008088088e+01,  5.996862099965128e-02,  1.956521739130435e-01,  6.521739130434782e-02,  2.583052471184119e-01,  1.270312834940833e+01
s43         , -2.257821044890805e+01, -2.267836066712292e+01,  1.076217094685039e-01,  0.000000000000000e+00,  7.235023041474655e-01,  1.497484032372155e-01,  1.407890359041090e+01
s44         , -1.984867902879579e+01, -1.969020896496750e+01,  7.705097144643301e-02,  3.684210526315789e-02,  0.000000000000000e+00,  2.417573704498071e-01,  1.288399317036714e+01
s45         , -1.928264199244582e+01, -1.937804719795178e+01,  5.593114587550479e-02,  1.666666666666667e-01,  3.030303030303030e-02,  2.389026644823618e-01,  1.249624222608577e+01
s46         , -2.007096062658339e+01, -2.037948623720795e+01,  1.792162019857829e-01,  0.000000000000000e+00,  1.098039215686274e-01,  2.292989352655356e-01,  1.379212732718986e+01
s47         , -1.842882744186564e+01, -1.887641667931563e+01,  8.169850131079696e-02,  8.480565371024736e-02,  0.000000000000000e+00,  2.614922931591507e-01,  1.185448877277465e+01
s48         , -1.712958329507449e+01, -1.694126273117866e+01,  7.247173856307280e-02,  0.000000000000000e+00,  0.000000000000000e+00,  4.015260422928962e-01,  1.047898688927233e+01
s49         , -2.142142340445580e+01, -2.146232343940264e+01,  4.627651358035251e-01,  1.343873517786561e-01,  3.359683794466403e-01,  1.898139551602869e-01,  1.575711280873738e+01
s50         , -2.022197746600499e+01, -2.048731761462150e+01,  5.975726222179985e-02,  0.000000000000000e+00,  0.000000000000000e+00,  2.302528396614023e-01,  1.404507687388660e+01
