# c0 + a0 * (poly_dist_avg_fixed - NBI) + a1 * (P + B) + a2 * (face-area-avg * E_T) + a3 * (E_T / face-area-avg) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.294868322057634; Max AE: 1.80136853907234
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -4.164697496472354e+00,  2.501536993115274e+00,  1.747862036699488e-01,  5.819362997572881e-01, -1.330638429775397e+00, -1.353368406577642e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         30|4|sub; (poly_dist_avg_fixed - NBI); $\left(poly_{dist, avg, fixed} - NBI\right)$; (poly_dist_avg_fixed - NBI); (newdata$poly_dist_avg_fixed - newdata$NBI); poly_dist_avg_fixed,NBI
# 1;  1; Unitless;                                         16|8|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 2;  1; A^2;                                              32|0|mult; (face-area-avg * E_T); $\left(face-area-avg E_{T}\right)$; (face_sub_area_sub_avg .* E_T); (newdata$face_sub_area_sub_avg * newdata$E_T); face-area-avg,E_T
# 3;  1; A^-2;                                             0|32|div; (E_T / face-area-avg); $\left(\frac{ E_{T} }{ face-area-avg } \right)$; (E_T ./ face_sub_area_sub_avg); (newdata$E_T / newdata$face_sub_area_sub_avg); E_T,face-area-avg
# 4;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s88         , -1.933594922663024e+01, -1.922344053742838e+01, -4.144125922612424e-01,  9.844559585492228e-02,  3.974709964728308e+01,  4.105760568965752e+00,  1.277466533661714e+01
s89         , -2.128477820873118e+01, -2.125474691087050e+01, -3.068517409951795e-01,  1.767068273092370e-01,  3.500701802174689e+01,  5.150713975461653e+00,  1.394607053773596e+01
s90         , -2.009844325702736e+01, -1.994222099034876e+01, -4.075133201630131e-01,  1.715481171548117e-01,  4.006112681076518e+01,  4.531930194143777e+00,  1.365830652508399e+01
s91         , -2.185233402642529e+01, -2.209456772293631e+01, -3.046749122506605e-01,  1.406250000000000e-01,  2.630002818797352e+01,  7.229184679892136e+00,  1.426784901333161e+01
s92         , -1.852873985612102e+01, -1.832384679862687e+01, -3.458660459769528e-01,  0.000000000000000e+00,  3.972529138174935e+01,  3.219074832482862e+00,  1.130834584278522e+01
s93         , -2.244477787769646e+01, -2.222515907484481e+01, -3.332135840904022e-01,  0.000000000000000e+00,  3.622147592102404e+01,  5.795070008311948e+00,  1.486698731291654e+01
s94         , -2.069748145715988e+01, -2.084867496007752e+01, -3.516862412006372e-01,  5.500000000000000e-02,  3.461337073992595e+01,  5.108261713559591e+00,  1.348214843596203e+01
s95         , -1.839144268754908e+01, -1.822860795047994e+01, -3.188424086362014e-01,  0.000000000000000e+00,  4.303379176999875e+01,  3.089214841465127e+00,  1.152998821423509e+01
s96         , -2.061908691885885e+01, -2.053527972857258e+01, -3.351031279633168e-01,  9.268292682926829e-02,  4.020749404701838e+01,  4.773580427460900e+00,  1.385401409772986e+01
s97         , -2.336181657728519e+01, -2.319690729155382e+01, -4.367630229347275e-01,  1.052631578947368e-01,  3.509680815955303e+01,  7.807325364333074e+00,  1.685155949830643e+01
s98         , -1.913590175727989e+01, -1.892837291859791e+01, -3.420507440347572e-01,  0.000000000000000e+00,  3.451455104161556e+01,  3.638226795939517e+00,  1.124957011796191e+01
s99         , -1.764848235022367e+01, -1.766975626540312e+01, -3.517304272192308e-01,  0.000000000000000e+00,  4.406566424810769e+01,  2.874461750546151e+00,  1.125455758320133e+01
s100        , -2.003395952271198e+01, -1.996384993548534e+01, -2.631194788500860e-01,  0.000000000000000e+00,  3.465860015424605e+01,  4.180247880853658e+00,  1.203667478368263e+01
s101        , -2.047737186068138e+01, -2.059509631748676e+01, -3.469457800213487e-01,  0.000000000000000e+00,  3.476184702822547e+01,  4.523515011867344e+00,  1.293711721418137e+01
